Company,Number of Jobs,Number of Jobs in sales and marketing,"Number of Jobs in engineering, research and development",Number of Jobs in customer services,Number of Jobs in business operations,Number of Jobs in leadership,other
Accenture,1268,4,804,21,74,3,362
Adecco_Group,16470,0,2222,5310,2923,0,6015
Amazon,11810,535,5491,970,2567,27,2220
American_Express,4741,0,3768,14,479,0,480
AT&T,9437,29,8324,24,1006,11,43
Atos SE,34,5,10,3,7,0,9
Bae_Systems,29109,0,17149,645,6661,10,4644
Bank_of_America,2014,245,579,45,971,10,164
Bloomberg,9831,690,5110,743,1620,14,1654
Blue_Cross_Blue_Shield,569,4,272,22,224,6,41
Booz Allen Hamilton,13457,1123,7909,983,1865,27,1550
Capgemini_SE,12739,0,10183,1,2530,1,24
Capital_One,780,20,389,39,235,12,85
CGI_Group_Inc,4615,1,2466,28,68,3,2049
Cisco,2934,51,1434,63,1320,6,60
Citi_Group,2070,125,712,151,614,48,420
Cognizant,7977,9,6823,51,828,4,262
Deloitte_Consulting_LLP,553,1,185,9,294,0,64
Diverse_Lynx,2885,0,1252,1,0,0,1632
eBay,456,42,192,14,151,0,57
Enlyft,1,0,1,0,0,0,0
Ericsson,11108,1105,5544,1109,2226,1,1123
Ernst & Young,9099,630,6465,1100,342,58,504
Experis,3970,794,1588,0,794,0,794
Fidelity_Investment,9347,7,5578,11,46,6,3699
General_Electric,1435,0,574,0,574,0,287
Google,4360,48,2594,32,1427,9,250
HCL,2158,0,864,7,405,2,880
Honeywell,3796,22,2874,38,721,9,132
HP,5647,6,2746,1114,1772,1,8
HP_Enterprise,692,20,425,40,93,1,113
HSBC,38531,0,4919,3853,19266,2787,7706
IBM,10875,28,6446,2073,112,8,2208
Infosys,2635,0,1319,0,657,659,0
Intel,6950,3,3965,0,2925,2,55
johnson & johnson,8826,429,5890,404,1090,39,974
JPMorgan_Chase,21432,87,3732,1813,14092,1235,473
Kelly_Services,3223,295,93,340,900,12,1583
KForce,0,0,0,0,0,0,0
KPMG,5370,4,161,1030,4131,2,42
Lockheed_Martin,27280,1,12740,95,4441,10,9993
McKesson_Corporation,1991,1,70,5,1,3,1911
Microsoft,13290,959,8157,781,2564,10,819
Modis,10,0,0,0,2,0,8
Net2Source,1388,0,694,0,0,0,694
Nokia,106,1,51,22,6,1,25
Oracle,10090,997,6373,1534,1083,6,97
PricewaterhouseCoopers,9308,0,4654,0,4654,0,0
RobertHalf,11479,0,5436,2,3189,1,2851
Siemens,370,18,201,36,66,1,48
Tech_Mahindra_Ltd,3186,0,1062,0,0,0,2124
United_Health,14233,19,5531,1823,133,710,6017
US_Army,1,0,0,0,0,0,1
Verizon,17651,1763,13307,1,2567,0,13
Vodafone,14,0,5,3,3,0,3
Walmart,2540,28,510,419,1266,4,313
Wells_Fargo,8524,13,2012,44,5672,6,777
Wipro,3482,11,745,660,65,6,1995
Xerox,19454,3886,5837,3895,1948,0,3888
&&*812,0,0,0,0,0,0,0
Animal,0,0,0,0,0,0,0
"Apex Systems, Inc.",0,0,0,0,0,0,0
Automatic Data Processing Inc,0,0,0,0,0,0,0
Axelon Services Corporation,0,0,0,0,0,0,0
Barclays,0,0,0,0,0,0,0
Ciber Inc,0,0,0,0,0,0,0
Collabera,0,0,0,0,0,0,0
Computer Sciences Corporation,0,0,0,0,0,0,0
Computer Task Group Inc,0,0,0,0,0,0,0
Confidential.,0,0,0,0,0,0,0
"CyberCoders, Inc",0,0,0,0,0,0,0
Dell Inc.,0,0,0,0,0,0,0
Deutsche Telekom AG,0,0,0,0,0,0,0
Deutsche Telekom AG,0,0,0,0,0,0,0
Deutsche Telekom AG,0,0,0,0,0,0,0
Deutsche Telekom AG,0,0,0,0,0,0,0
EMC Corporation,0,0,0,0,0,0,0
"General Dynamics Information Technology, Inc.",0,0,0,0,0,0,0
Genpact Ltd,0,0,0,0,0,0,0
"HAYS FOOD TOWN, INC",0,0,0,0,0,0,0
hotmail.com,0,0,0,0,0,0,0
Jonson & Jonson,0,0,0,0,0,0,0
"KAISER FOUNDATION HEALTH PLAN, INC",0,0,0,0,0,0,0
Leidos,0,0,0,0,0,0,0
"MATRIX Resources, Inc.",0,0,0,0,0,0,0
"Merriam-Webster, Incorporated",0,0,0,0,0,0,0
Randstad Holding,0,0,0,0,0,0,0
Sales,0,0,0,0,0,0,0
SAP SE,0,0,0,0,0,0,0
School of the Art Institute of Chicago,0,0,0,0,0,0,0
studkflai,0,0,0,0,0,0,0
Target,0,0,0,0,0,0,0
Tata Consultancy Services Ltd,0,0,0,0,0,0,0
TEKsystems Inc.,0,0,0,0,0,0,0
"The Judge Group, Inc.",0,0,0,0,0,0,0
Unisys Corporation,0,0,0,0,0,0,0
Volt Information Sciences Inc,0,0,0,0,0,0,0
Volt Information Sciences Inc,0,0,0,0,0,0,0
World News Inc,0,0,0,0,0,0,0
X-Ray,0,0,0,0,0,0,0
Total Jobs Per Category,427601,14059,198437,31421,103670,5771,74243
